budget,id,popularity,year,revenue,runtime,title,vote_average,vote_count
237000000,19995,185.070892,2009,2787965087,162,Avatar,7.2,12114
245000000,140607,31.626013,2015,2068223624,136,Star Wars: The Force Awakens,7.5,7993
200000000,597,26.88907,1997,1845034188,194,Titanic,7.5,7770
220000000,24428,89.887648,2012,1519557910,143,The Avengers,7.4,12000
150000000,135397,32.790475,2015,1513528810,124,Jurassic World,6.5,8842
190000000,168259,27.275687,2015,1506249360,137,Furious 7,7.3,4253
280000000,99861,37.37942,2015,1405403694,141,Avengers: Age of Ultron,7.3,6908
125000000,12445,24.990737,2011,1342000000,130,Harry Potter and the Deathly Hallows: Part 2,7.9,6141
150000000,109445,24.248243,2013,1274219009,102,Frozen,7.3,5440
160000000,321612,287.253654,2017,1262886337,129,Beauty and the Beast,6.8,5530
250000000,337339,48.573287,2017,1238764765,136,The Fate of the Furious,6.8,3803
200000000,68721,23.721243,2013,1215439994,130,Iron Man 3,6.8,8951
74000000,211672,547.488298,2015,1156730962,91,Minions,6.4,4729
250000000,271110,145.882135,2016,1153304495,147,Captain America: Civil War,7.1,7462
195000000,38356,4.503505,2011,1123746996,154,Captain America: Civil War,6.1,3351
94000000,122,29.324358,2003,1118888979,201,The Lord of the Rings: The Return of the King,8.1,8226
200000000,37724,20.309585,2012,1108561013,143,Skyfall,6.9,7718
210000000,91314,18.495599,2014,1091405097,165,Transformers: Age of Extinction,5.8,3136
250000000,49026,20.58258,2012,1084939099,165,The Dark Knight Rises,7.6,9263
200000000,10193,16.96647,2010,1066969703,103,Toy Story 3,7.6,4710
200000000,58,29.455314,2006,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5380
200000000,330459,36.567575,2016,1056057273,133,Rogue One: A Star Wars Story,7.4,5111
380000000,1865,27.88772,2011,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,5068
200000000,127380,14.477677,2016,1028570889,97,Finding Dory,6.8,4333
200000000,12155,17.285093,2010,1025491110,108,Alice in Wonderland,6.4,4773
150000000,269149,26.024868,2016,1023784195,108,Zootopia,7.7,4961
250000000,49051,23.253089,2012,1021103568,169,The Hobbit: An Unexpected Journey,7,8427
80000000,324852,36.631519,2017,1020063384,96,Despicable Me 3,6.2,2002
185000000,155,123.167259,2008,1004558444,152,The Dark Knight,8.3,12269
125000000,671,38.187238,2001,976475550,152,Harry Potter and the Philosopher's Stone,7.5,7188
76000000,93456,24.82355,2013,970761885,98,Despicable Me 2,7,4729
175000000,278927,17.432758,2016,966550600,106,The Jungle Book,6.7,2977
300000000,285,31.363664,2007,961000000,169,Pirates of the Caribbean: At World's End,6.9,4627
250000000,57158,20.644776,2013,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4633
250000000,122917,31.718977,2014,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4884
250000000,12444,23.300362,2010,954305868,146,Harry Potter and the Deathly Hallows: Part 1,7.5,5708
94000000,12,25.497794,2003,940335536,100,Finding Nemo,7.6,6292
150000000,675,21.3643,2007,938212738,138,Harry Potter and the Order of the Phoenix,7.4,5633
250000000,767,19.083723,2009,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5435
79000000,121,29.423537,2002,926287400,179,The Lord of the Rings: The Two Towers,8,7641
115000000,1893,15.649091,1999,924317558,136,Star Wars: Episode I - The Phantom Menace,6.4,4526
63000000,329,8.863776,1993,920100000,127,Jurassic Park,7.6,4956
150000000,809,16.22986,2004,919838758,93,Shrek 2,6.7,3082
150000000,674,24.903058,2005,895921036,157,Harry Potter and the Goblet of Fire,7.5,5758
258000000,559,27.614265,2007,890871626,139,Spider-Man 3,5.9,3687
90000000,8355,12.980624,2009,886686817,94,Ice Age: Dawn of the Dinosaurs,6.5,2330
245000000,206647,24.926577,2015,880674609,148,Spectre,6.3,4552
95000000,57800,13.26958,2012,877244782,88,Ice Age: Continental Drift,6.2,2731
100000000,672,29.741452,2002,876688482,161,Harry Potter and the Chamber of Secrets,7.4,5966
75000000,328111,11.01395,2016,875457937,87,The Secret Life of Pets,5.9,3536
250000000,209112,31.435879,2016,873260194,151,Batman v Superman: Dawn of Justice,5.7,7189
93000000,120,32.070725,2001,871368364,178,The Lord of the Rings: The Fellowship of the Ring,8,8892
200000000,283995,185.330992,2017,863416141,137,Guardians of the Galaxy Vol. 2,7.6,4858
175000000,150540,23.985587,2015,857611174,94,Inside Out,7.9,6737
113000000,1895,13.165421,2005,850000000,140,Star Wars: Episode III - Revenge of the Sith,7.1,4200
130000000,101299,25.309139,2013,847423452,146,The Hunger Games: Catching Fire,7.4,6656
150000000,8373,4.351756,2009,836297228,150,Transformers: Revenge of the Fallen,6,3192
120000000,50620,26.080995,2012,829000000,115,The Twilight Saga: Breaking Dawn - Part 2,6.1,2641
160000000,27205,29.108149,2010,825532764,148,Inception,8.1,14075
139000000,557,29.413341,2002,821708551,121,Spider-Man,6.8,5398
149000000,297762,294.337037,2017,820580447,141,Wonder Woman,7.2,5025
75000000,602,17.634197,1996,816969268,145,Independence Day,6.7,3334
180000000,259316,41.051421,2016,809342332,133,Fantastic Beasts and Where to Find Them,7.2,5612
160000000,810,14.072479,2007,798958165,93,Shrek the Third,6,2355
230000000,166426,133.82782,2017,794191988,129,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,2814
10500000,601,19.358546,1982,792965326,115,E.T. the Extra-Terrestrial,7.3,3359
130000000,673,28.460276,2004,789804554,141,Harry Potter and the Prisoner of Azkaban,7.7,6037
160000000,82992,1.657637,2013,788679850,130,Fast & Furious 6,6.7,5282
45000000,8587,21.605761,1994,788241776,89,The Lion King,8,5520
185000000,217,12.577266,2008,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2558
200000000,558,10.834506,2004,783766341,127,Spider-Man 2,6.7,4432
58000000,293660,187.860492,2016,783112979,108,Deadpool,7.4,11444
11000000,11,42.149697,1977,775398007,121,Star Wars,8.1,6778
170000000,118340,53.291601,2014,773328629,121,Guardians of the Galaxy,7.9,10014
200000000,14161,16.698628,2009,769653595,158,2012,5.6,4994
125000000,591,18.566706,2006,767820459,149,The Da Vinci Code,6.5,2773
180000000,102651,19.467404,2014,758539785,97,Maleficent,7,4607
165000000,10192,11.803808,2010,752600867,93,Shrek Forever After,6,2021
215000000,1930,31.102267,2012,752215857,136,The Amazing Spider-Man,6.5,6734
125000000,131631,147.098006,2014,752100229,123,The Hunger Games: Mockingjay - Part 1,6.6,5767
180000000,411,18.13542,2005,748806957,143,The Chronicles of Narnia: The Lion  the Witch and the Wardrobe,6.7,2709
250000000,127585,26.058586,2014,747862775,131,X-Men: Days of Future Past,7.5,6155
145000000,80321,13.829042,2012,746921274,93,Madagascar 3: Europe's Most Wanted,6.4,1857
175000000,297761,42.965027,2016,745600054,123,Suicide Squad,5.9,7717
200000000,62211,16.267502,2013,743559607,104,Monsters University,7,3622
150000000,604,16.229317,2003,738599701,138,The Matrix Reloaded,6.7,3500
175000000,14160,19.330884,2009,735099082,96,Up,7.8,7048
105000000,49047,18.50194,2013,716392705,91,Gravity,7.3,5879
170000000,100402,18.717704,2014,714766572,136,Captain America: The Winter Soldier,7.6,5881
110000000,50619,25.9725,2011,712171856,117,The Twilight Saga: Breaking Dawn - Part 1,5.8,2622
170000000,119450,75.385211,2014,710644566,130,Dawn of the Planet of the Apes,7.3,4511
50000000,18239,30.121292,2009,709827462,130,The Twilight Saga: New Moon,5.6,2518
150000000,1858,5.587707,2007,709709780,144,Transformers,6.6,4113
200000000,102382,26.23687,2014,705717432,142,The Amazing Spider-Man 2,6.5,4274
68000000,24021,34.047399,2010,698491347,124,The Twilight Saga: Eclipse,5.9,2382
145000000,56292,14.25843,2011,694713380,133,Mission: Impossible - Ghost Protocol,6.8,4026
75000000,70160,20.031667,2012,691210692,142,The Hunger Games,6.9,9634
150000000,177677,17.836882,2015,682330139,131,Mission: Impossible - Rogue Nation,7.1,3274
55000000,13,48.307194,1994,677945399,142,Forrest Gump,8.2,8147
165000000,284052,43.847654,2016,677718395,115,Doctor Strange,7.1,5880
165000000,157336,32.213481,2014,675120017,169,Interstellar,8.1,11187
40000000,745,18.449169,1999,672806292,107,The Sixth Sense,7.7,3223
150000000,49444,11.481921,2011,665692281,91,Kung Fu Panda 2,6.7,1925
225000000,49521,18.538834,2013,662845518,143,Man of Steel,6.5,6462
80000000,950,16.646029,2006,660940780,91,Ice Age: The Meltdown,6.5,3034
140000000,22,47.326665,2003,655011224,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191
160000000,131634,26.628178,2015,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6,4117
165000000,177572,213.849907,2014,652105443,102,Big Hero 6,7.8,6289
120000000,1894,14.072511,2002,649398328,142,Star Wars: Episode II - Attack of the Clones,6.4,4074
170000000,76338,34.905447,2013,644571402,112,Thor: The Dark World,6.8,4873
150000000,277834,9.143457,2016,643034466,107,Moana,7.3,3471
75000000,335797,20.045673,2016,632443719,108,Sing,6.8,2363
130000000,9502,16.897541,2008,631744560,90,Kung Fu Panda,6.9,3231
92000000,9806,22.220214,2004,631442092,115,The Incredibles,7.4,5290
108000000,286217,25.62993,2015,630161890,141,The Martian,7.6,7442
125000000,51497,1.420361,2011,626137675,130,Fast Five,7.1,2491
150000000,8960,11.017324,2008,624029371,92,Hancock,6.2,3050
